Date,Price,Open,High,Low,Vol.,Change %,Index
2023-12-06,3231.8,3287.4,3287.4,3229.5,355.99M,-0.93,Technology
2023-12-07,3273.2,3246.8,3276.5,3242.0,444.65M,1.28,Technology
2023-12-08,3302.7,3266.3,3304.8,3265.3,417.38M,0.9,Technology
2023-12-11,3316.6,3285.9,3318.0,3281.4,527.86M,0.42,Technology
2023-12-12,3344.1,3305.6,3344.1,3302.7,498.63M,0.83,Technology
2023-12-13,3373.8,3350.9,3381.4,3345.4,478.89M,0.89,Technology
2023-12-14,3362.4,3374.1,3387.8,3336.3,618.64M,-0.34,Technology
2023-12-15,3386.1,3364.4,3399.4,3364.0,900.87M,0.7,Technology
2023-12-18,3395.1,3380.2,3402.3,3367.3,405.25M,0.27,Technology
2023-12-19,3403.3,3390.7,3403.4,3385.4,387.12M,0.24,Technology
2023-12-20,3350.8,3398.6,3412.8,3350.8,404.44M,-1.54,Technology
2023-12-21,3386.8,3383.5,3395.8,3358.1,372.03M,1.08,Technology
2023-12-22,3388.1,3395.1,3400.0,3372.6,279.94M,0.04,Technology
2023-12-26,3401.6,3394.3,3409.1,3393.0,277.27M,0.4,Technology
2023-12-27,3402.4,3402.2,3408.0,3386.4,296.85M,0.02,Technology
2023-12-28,3406.6,3415.5,3418.5,3404.9,267.13M,0.12,Technology
2023-12-29,3397.2,3412.1,3417.2,3379.0,306.61M,-0.28,Technology
2024-01-02,3309.5,3349.1,3356.9,3287.6,453.24M,-2.58,Technology
2024-01-03,3275.7,3278.7,3298.7,3271.6,401.32M,-1.02,Technology
2024-01-04,3254.6,3257.7,3281.2,3252.5,417.58M,-0.64,Technology
2024-01-05,3259.5,3260.9,3287.2,3246.2,393.17M,0.15,Technology
2024-01-08,3349.0,3277.0,3349.7,3274.4,444.20M,2.75,Technology
2024-01-09,3357.5,3325.3,3367.3,3315.8,457.81M,0.25,Technology
2024-01-10,3391.2,3362.5,3396.8,3355.8,434.19M,1.0,Technology
2024-01-11,3406.1,3409.9,3426.3,3359.0,417.43M,0.44,Technology
2024-01-12,3417.9,3413.1,3424.0,3400.4,340.13M,0.35,Technology
2024-01-16,3431.2,3414.8,3444.6,3398.3,502.98M,0.39,Technology
2024-01-17,3414.1,3407.4,3417.1,3374.4,433.88M,-0.5,Technology
2024-01-18,3483.5,3460.5,3486.0,3445.6,538.83M,2.03,Technology
2024-01-19,3565.2,3507.9,3565.2,3498.2,602.38M,2.35,Technology
2024-01-22,3579.0,3586.1,3600.5,3566.2,505.61M,0.39,Technology
2024-01-23,3595.1,3580.4,3596.9,3560.3,393.21M,0.45,Technology
2024-01-24,3622.8,3620.1,3662.1,3609.6,542.91M,0.77,Technology
2024-01-25,3636.5,3658.2,3673.8,3618.8,580.62M,0.38,Technology
2024-01-26,3598.3,3612.5,3630.7,3589.9,530.69M,-1.05,Technology
2024-01-29,3633.1,3602.0,3634.2,3597.2,426.52M,0.97,Technology
2024-01-30,3606.2,3633.8,3641.0,3593.9,480.99M,-0.74,Technology
2024-01-31,3529.9,3569.6,3587.0,3529.9,585.07M,-2.11,Technology
2024-02-01,3578.8,3546.8,3583.3,3543.7,460.55M,1.38,Technology
2024-02-02,3625.9,3557.1,3637.1,3555.5,519.23M,1.32,Technology
