"Date","Price","Open","High","Low","Vol.","Change %"
"03/12/2021","2,304.3","2,320.8","2,320.8","2,278.9","379.00M","-0.71%"
"03/11/2021","2,320.8","2,272.6","2,335.0","2,272.6","498.72M","2.12%"
"03/10/2021","2,272.6","2,281.8","2,306.4","2,270.9","482.76M","-0.40%"
"03/09/2021","2,281.8","2,206.5","2,295.9","2,206.5","555.84M","3.41%"
"03/08/2021","2,206.5","2,262.3","2,270.0","2,204.9","627.87M","-2.46%"
"03/05/2021","2,262.3","2,218.6","2,268.2","2,188.2","656.49M","1.97%"
"03/04/2021","2,218.6","2,269.8","2,280.0","2,193.1","690.89M","-2.26%"
"03/03/2021","2,269.8","2,327.7","2,327.7","2,268.6","497.36M","-2.49%"
"03/02/2021","2,327.7","2,366.3","2,372.3","2,326.2","409.23M","-1.63%"
"03/01/2021","2,366.3","2,294.3","2,368.4","2,294.3","462.25M","3.18%"
"02/26/2021","2,293.4","2,279.8","2,328.1","2,273.2","637.74M","0.60%"
"02/25/2021","2,279.8","2,363.2","2,363.2","2,270.6","592.80M","-3.53%"
"02/24/2021","2,363.2","2,328.1","2,364.9","2,293.1","470.77M","1.51%"
"02/23/2021","2,328.1","2,333.9","2,342.7","2,255.8","573.15M","-0.25%"
"02/22/2021","2,333.9","2,387.8","2,387.8","2,333.6","475.46M","-2.26%"
"02/19/2021","2,387.8","2,391.4","2,405.7","2,377.6","445.06M","-0.15%"
"02/18/2021","2,391.4","2,402.2","2,402.2","2,361.1","380.56M","-0.45%"
"02/17/2021","2,402.2","2,427.3","2,427.3","2,379.9","386.64M","-1.03%"
"02/16/2021","2,427.3","2,434.5","2,446.7","2,420.3","413.21M","-0.30%"
"02/12/2021","2,434.5","2,422.5","2,436.1","2,410.4","338.55M","0.49%"
"02/11/2021","2,422.5","2,396.4","2,424.1","2,396.4","405.04M","1.09%"
"02/10/2021","2,396.4","2,400.0","2,413.0","2,377.6","414.32M","-0.15%"
"02/09/2021","2,400.0","2,404.6","2,412.0","2,396.8","372.32M","-0.19%"
"02/08/2021","2,404.6","2,379.9","2,404.7","2,379.9","399.18M","1.04%"
"02/05/2021","2,379.9","2,385.1","2,391.4","2,373.0","370.44M","-0.22%"
"02/04/2021","2,385.1","2,348.8","2,385.8","2,348.8","447.12M","1.55%"
"02/03/2021","2,348.8","2,355.9","2,366.0","2,341.9","395.35M","-0.30%"
"02/02/2021","2,355.9","2,326.1","2,362.9","2,326.1","391.46M","1.28%"
"02/01/2021","2,326.1","2,269.1","2,336.4","2,269.1","461.09M","2.51%"
"01/29/2021","2,269.1","2,324.9","2,324.9","2,256.2","641.21M","-2.40%"
"01/28/2021","2,324.9","2,314.4","2,363.7","2,314.4","572.21M","0.45%"
"01/27/2021","2,314.4","2,359.8","2,359.8","2,295.4","718.49M","-1.92%"
"01/26/2021","2,359.8","2,359.6","2,371.2","2,351.4","455.18M","0.01%"
"01/25/2021","2,359.6","2,339.1","2,374.8","2,301.5","570.23M","0.88%"
"01/22/2021","2,339.1","2,346.6","2,349.5","2,332.2","549.32M","-0.32%"
"01/21/2021","2,346.6","2,316.0","2,354.1","2,316.0","502.81M","1.32%"
"01/20/2021","2,316.0","2,270.3","2,323.5","2,270.3","430.28M","2.02%"
"01/19/2021","2,270.3","2,240.9","2,273.7","2,240.9","460.00M","1.31%"
"01/15/2021","2,240.9","2,263.0","2,271.6","2,237.1","514.28M","-0.97%"
"01/14/2021","2,263.0","2,284.6","2,294.7","2,261.2","522.50M","-0.95%"
"01/13/2021","2,284.6","2,269.8","2,291.9","2,269.0","508.29M","0.65%"
"01/12/2021","2,269.8","2,279.5","2,281.0","2,248.5","437.28M","-0.43%"
"01/11/2021","2,279.5","2,301.2","2,301.2","2,272.2","430.34M","-0.94%"
"01/08/2021","2,301.2","2,284.0","2,306.5","2,274.4","475.26M","0.75%"
"01/07/2021","2,284.0","2,225.0","2,289.8","2,225.0","474.93M","2.65%"
"01/06/2021","2,225.0","2,265.9","2,269.0","2,218.8","540.42M","-1.81%"
"01/05/2021","2,265.9","2,250.2","2,268.6","2,244.7","414.18M","0.70%"
"01/04/2021","2,250.2","2,291.3","2,300.9","2,220.9","568.03M","-1.79%"
"12/31/2020","2,291.3","2,284.5","2,294.6","2,269.9","347.66M","0.30%"
"12/30/2020","2,284.5","2,285.0","2,299.6","2,282.0","335.16M","-0.02%"
"12/29/2020","2,285.0","2,297.0","2,313.4","2,282.4","400.18M","-0.52%"
"12/28/2020","2,297.0","2,270.6","2,301.8","2,270.6","341.58M","1.16%"
"12/24/2020","2,270.6","2,253.8","2,277.1","2,253.8","170.55M","0.75%"
"12/23/2020","2,253.8","2,273.1","2,278.1","2,253.2","318.58M","-0.85%"
"12/22/2020","2,273.1","2,253.7","2,283.9","2,253.7","451.98M","0.86%"
"12/21/2020","2,253.7","2,252.1","2,255.1","2,203.8","487.99M","0.07%"
"12/18/2020","2,252.1","2,259.8","2,263.7","2,237.6","867.51M","-0.34%"
"12/17/2020","2,259.8","2,243.1","2,265.2","2,243.1","395.64M","0.75%"
"12/16/2020","2,243.1","2,226.5","2,250.1","2,223.1","412.58M","0.74%"
"12/15/2020","2,226.5","2,191.2","2,226.8","2,191.2","474.87M","1.61%"
"12/14/2020","2,191.2","2,182.2","2,210.2","2,182.2","416.22M","0.41%"
"12/11/2020","2,182.2","2,187.2","2,187.2","2,158.3","405.06M","-0.23%"
"12/10/2020","2,187.2","2,185.6","2,197.8","2,166.7","394.70M","0.07%"
"12/09/2020","2,185.6","2,227.4","2,232.7","2,177.0","483.44M","-1.88%"
"12/08/2020","2,227.4","2,219.8","2,234.1","2,208.6","372.88M","0.35%"
"12/07/2020","2,219.8","2,213.9","2,226.6","2,211.2","420.50M","0.26%"
"12/04/2020","2,213.9","2,191.6","2,213.9","2,190.6","435.58M","1.02%"
"12/03/2020","2,191.6","2,193.9","2,206.9","2,186.0","429.13M","-0.10%"
"12/02/2020","2,193.9","2,198.7","2,198.7","2,171.2","474.35M","-0.22%"
"12/01/2020","2,198.7","2,168.1","2,208.7","2,168.1","564.45M","1.41%"
"11/30/2020","2,168.1","2,153.9","2,171.4","2,130.0","674.93M","0.66%"
"11/27/2020","2,153.9","2,143.0","2,163.5","2,143.0","212.91M","0.51%"
"11/25/2020","2,143.0","2,138.2","2,151.9","2,135.3","398.70M","0.22%"
"11/24/2020","2,138.2","2,109.0","2,142.3","2,101.9","480.69M","1.39%"
"11/23/2020","2,109.0","2,109.7","2,129.8","2,091.4","454.31M","-0.03%"
"11/20/2020","2,109.7","2,132.1","2,134.2","2,109.3","367.10M","-1.05%"
"11/19/2020","2,132.1","2,114.4","2,135.1","2,100.8","387.84M","0.84%"
"11/18/2020","2,114.4","2,138.2","2,143.9","2,113.9","388.92M","-1.11%"
"11/17/2020","2,138.2","2,150.0","2,150.0","2,129.9","365.06M","-0.55%"
"11/16/2020","2,150.0","2,129.2","2,154.4","2,125.1","449.86M","0.98%"
"11/13/2020","2,129.2","2,111.1","2,134.3","2,108.3","378.73M","0.86%"
"11/12/2020","2,111.1","2,131.2","2,141.3","2,102.8","418.19M","-0.94%"
"11/11/2020","2,131.2","2,081.0","2,136.8","2,081.0","442.26M","2.41%"
"11/10/2020","2,081.0","2,122.1","2,122.1","2,065.2","573.98M","-1.94%"
"11/09/2020","2,122.1","2,137.7","2,202.5","2,119.5","676.06M","-0.73%"
"11/06/2020","2,137.7","2,131.4","2,143.4","2,096.0","440.26M","0.30%"
"11/05/2020","2,131.4","2,068.8","2,136.5","2,068.8","512.53M","3.12%"
"11/04/2020","2,066.9","1,990.6","2,081.7","1,990.6","570.29M","3.83%"
"11/03/2020","1,990.6","1,955.3","2,006.4","1,955.3","450.06M","1.80%"
"11/02/2020","1,955.3","1,948.7","1,980.5","1,936.1","467.44M","0.34%"
"10/30/2020","1,948.7","1,997.3","1,997.3","1,927.6","606.74M","-2.44%"
"10/29/2020","1,997.3","1,960.2","2,016.9","1,960.2","544.56M","1.89%"
"10/28/2020","1,960.2","2,048.9","2,048.9","1,958.5","633.99M","-4.33%"
"10/27/2020","2,048.9","2,038.3","2,056.8","2,037.3","589.46M","0.52%"
"10/26/2020","2,038.3","2,083.5","2,083.5","2,013.4","519.54M","-2.17%"
"10/23/2020","2,083.5","2,085.9","2,087.3","2,066.3","431.23M","-0.12%"
"10/22/2020","2,085.9","2,095.8","2,103.0","2,062.1","400.33M","-0.47%"
"10/21/2020","2,095.8","2,098.6","2,115.4","2,091.4","373.96M","-0.13%"
"10/20/2020","2,098.6","2,090.6","2,120.6","2,086.0","409.21M","0.38%"
"10/19/2020","2,090.6","2,130.5","2,149.7","2,085.4","442.75M","-1.88%"
"10/16/2020","2,130.5","2,136.5","2,156.9","2,129.7","415.90M","-0.28%"
"10/15/2020","2,136.5","2,146.0","2,146.0","2,106.2","375.89M","-0.44%"
"10/14/2020","2,146.0","2,157.8","2,174.5","2,130.2","428.04M","-0.55%"
"10/13/2020","2,157.8","2,171.5","2,182.7","2,149.8","566.89M","-0.63%"
"10/12/2020","2,171.5","2,114.1","2,185.9","2,114.1","574.51M","2.72%"
"10/09/2020","2,114.1","2,082.0","2,114.2","2,082.0","452.42M","1.54%"
